energy_kev,no_cut_counts_per_1kev,score_ge_threshold_counts_per_1kev
1163.5,292,178
1164.5,280,164
1165.5,313,186
1166.5,296,172
1167.5,251,146
1168.5,245,130
1169.5,262,142
1170.5,276,164
1171.5,258,145
1172.5,274,160
1173.5,290,165
1174.5,254,140
1175.5,283,161
1176.5,260,139
1177.5,243,129
1178.5,230,133
1179.5,232,127
1180.5,279,164
1181.5,251,130
1182.5,278,167
1183.5,279,175
1184.5,229,124
1185.5,258,161
1186.5,231,137
1187.5,227,125
1188.5,253,141
1189.5,256,148
1190.5,256,136
1191.5,264,157
1192.5,258,164
1193.5,251,117
1194.5,230,124
1195.5,246,157
1196.5,240,133
1197.5,272,145
1198.5,298,171
1199.5,282,173
1200.5,255,158
1201.5,275,162
1202.5,265,160
1203.5,269,147
1204.5,232,133
1205.5,250,133
1206.5,249,139
1207.5,288,172
1208.5,253,140
1209.5,241,129
1210.5,276,153
1211.5,237,137
1212.5,278,165
1213.5,254,153
1214.5,260,138
1215.5,253,143
1216.5,277,150
1217.5,275,150
1218.5,259,146
1219.5,268,166
1220.5,263,161
1221.5,262,140
1222.5,269,138
1223.5,274,155
1224.5,257,149
1225.5,257,147
1226.5,264,136
1227.5,248,143
1228.5,253,135
1229.5,286,159
1230.5,281,163
1231.5,277,155
1232.5,240,131
1233.5,275,150
1234.5,276,163
1235.5,258,150
1236.5,259,153
1237.5,281,165
1238.5,286,156
1239.5,253,143
1240.5,246,151
1241.5,279,162
1242.5,294,183
1243.5,325,201
1244.5,370,235
1245.5,517,344
1246.5,549,386
1247.5,535,370
1248.5,474,322
1249.5,388,240
1250.5,354,218
1251.5,288,175
1252.5,273,159
1253.5,269,148
1254.5,254,145
1255.5,255,164
1256.5,248,148
1257.5,290,165
1258.5,254,141
1259.5,283,156
1260.5,278,163
1261.5,253,148
1262.5,271,156
1263.5,269,140
1264.5,275,156
1265.5,236,135
1266.5,268,162
1267.5,270,153
1268.5,285,169
1269.5,258,149
1270.5,251,135
1271.5,235,119
1272.5,275,146
1273.5,286,176
1274.5,267,147
1275.5,257,134
1276.5,290,166
1277.5,266,143
1278.5,256,140
1279.5,290,165
1280.5,281,173
1281.5,271,150
1282.5,297,165
1283.5,252,140
1284.5,291,149
1285.5,302,191
1286.5,315,182
1287.5,337,207
1288.5,318,193
1289.5,268,164
1290.5,262,147
1291.5,273,149
1292.5,248,138
1293.5,290,173
1294.5,255,152
1295.5,255,152
1296.5,226,129
1297.5,250,156
1298.5,263,147
1299.5,274,152
1300.5,257,157
1301.5,280,155
1302.5,260,145
1303.5,252,152
1304.5,248,144
1305.5,261,142
1306.5,279,160
1307.5,252,141
1308.5,275,181
1309.5,290,172
1310.5,309,177
1311.5,264,150
1312.5,265,141
1313.5,259,146
1314.5,291,173
1315.5,267,154
1316.5,273,164
1317.5,241,134
1318.5,263,137
1319.5,267,161
1320.5,268,154
1321.5,254,140
1322.5,265,165
1323.5,259,144
1324.5,271,152
1325.5,276,149
1326.5,269,140
1327.5,281,146
1328.5,242,117
1329.5,275,143
1330.5,294,163
1331.5,255,149
1332.5,283,165
1333.5,276,162
1334.5,280,157
1335.5,289,172
1336.5,289,166
1337.5,248,144
1338.5,256,138
1339.5,272,156
1340.5,267,162
