threshold,selected_events,selected_fraction,geometric_mean_pb_improvement,minimum_peak_retention,mean_peak_retention,pooled_net_peak_retention,all_peak_statistics_reliable,sensitivity_geometric_mean_pb_improvement_excluding_209,sensitivity_minimum_peak_retention_excluding_209,sensitivity_mean_peak_retention_excluding_209,sensitivity_statistics_reliable_excluding_209
0.2135,2846431,0.986251053320176,1.0175962041794284,0.9929147680946773,0.9986772746619634,0.9990701101177104,True,1.0182663223453996,0.9929147680946773,0.9985717071909949,True
0.214,2846113,0.9861408704859687,1.0178325418553058,0.9929093673692261,0.9987240307154849,0.9990454755341469,True,1.0184999987394432,0.9929093673692261,0.9986023245576467,True
0.2145,2845737,0.9860105914115599,1.0177675822673526,0.9922038094065659,0.9985463664478113,0.9990110738247014,True,1.0184460662464399,0.9922038094065659,0.9984228758814679,True
0.215,2845375,0.9858851631537515,1.0183646407687834,0.9929364119520788,0.9986989414076559,0.9989879865743778,True,1.0191099284602099,0.9929364119520788,0.9985924036146285,True
0.2155,2845020,0.9857621603042432,1.0184023784699336,0.9922308539894187,0.9986306014417489,0.9989796101553019,True,1.0191562320559446,0.9922308539894187,0.9985240211544377,True
0.216,2844696,0.9856498985486357,1.0184547495605263,0.9929149516696086,0.9986118520706795,0.9989192877483747,True,1.0192164334150424,0.9929149516696086,0.9985084277458385,True
0.2165,2844338,0.9855258562384274,1.018976492031716,0.9935793306509031,0.998708162190234,0.9988994870145148,True,1.0197823546199087,0.9935793306509031,0.9986048113673365,True
0.217,2843963,0.9853959236509187,1.0195049216271475,0.9943118968581739,0.9987939819238161,0.9988777840872115,True,1.0203654454197872,0.9943118968581739,0.9986975786533464,True
0.2175,2843574,0.9852611402468096,1.019231706430374,0.9921737309945742,0.9983664987902603,0.9987937120016942,True,1.0200181783963336,0.9921737309945742,0.9981866324456615,True
0.218,2843214,0.9851364049628012,1.01930407327953,0.992157803745776,0.9983430898835692,0.9987601199376824,True,1.0200769864721528,0.992157803745776,0.9981426866587084,True
0.2185,2842842,0.9850075118359926,1.0192934678169114,0.9921634781572675,0.9982369150040755,0.9986951313520189,True,1.020065193696214,0.9921634781572675,0.998024714570382,True
0.219,2842427,0.9848637197724829,1.019366653052409,0.9914839570166143,0.9981575851556516,0.9986525880197755,True,1.0201031630356752,0.9914839570166143,0.997900621760755,True
0.2195,2842000,0.9847157698661729,1.0199030974171532,0.9928431641829957,0.9982839558930567,0.9986251926062184,True,1.0206693883946756,0.9928431641829957,0.9980184205014859,True
0.22,2841611,0.9845809864620638,1.0201759141749678,0.9935452860346278,0.9982138766368365,0.9985999812620807,True,1.0209727503859274,0.9935452860346278,0.9979405546612412,True
0.2205,2841234,0.9844503609007551,1.0203279045436506,0.9935849768340785,0.998162057994724,0.9985584602037342,True,1.0211383869330197,0.9935849768340785,0.997882978189211,True
0.221,2840812,0.9843041434289452,1.020421540878396,0.9928794188714185,0.9980979942115619,0.9984960352977491,True,1.0212425104787348,0.9928794188714185,0.9978117962079198,True
0.2215,2840357,0.9841464918894346,1.0203656013928903,0.9921775450848621,0.997895938273421,0.9984475811569303,True,1.021213541548099,0.9921775450848621,0.9976231655682928,True
0.222,2839909,0.9839912657582243,1.0204723617070222,0.9908080352317642,0.9977858222154701,0.9984018389911498,True,1.0213191341972967,0.9908080352317642,0.9974899539852188,True
0.2225,2839503,0.9838505920768148,1.0206078206594058,0.9908080352317642,0.9977540039669399,0.9983826188174136,True,1.021426338793908,0.9908080352317642,0.9974186722885706,True
0.223,2839059,0.9836967518932044,1.0206899148463238,0.990802041303776,0.9977032703181719,0.9983343692648585,True,1.0215237708018285,0.990802041303776,0.9973701763511242,True
0.2235,2838575,0.9835290522335931,1.0207645659583011,0.9908129919505986,0.997552195672824,0.9982403105083667,True,1.0216251174128905,0.9908129919505986,0.9972202716997516,True
0.224,2838123,0.9833724401547826,1.0204500403487249,0.9858947418656413,0.9970467379180421,0.9981599501986506,True,1.021275355879576,0.9858947418656413,0.9966586519722163,True
0.2245,2837674,0.9832168675366721,1.0207338891128541,0.9858891828942551,0.9969495336863353,0.9981175676854206,True,1.0215875831051857,0.9858891828942551,0.9965506112592613,True
0.225,2837226,0.9830616414054617,1.0209759306151216,0.985869589051913,0.9969717825102291,0.9980910538711399,True,1.0218610909383115,0.985869589051913,0.9965828824213285,True
0.2255,2836743,0.9828942882327505,1.0210834825907358,0.9851444372469109,0.996869964450056,0.9980593661855303,True,1.0220173882185983,0.9851444372469109,0.9965056633747194,True
0.226,2836282,0.9827345577718397,1.021373875570932,0.987248239281162,0.9969273423674204,0.9979743105187404,True,1.0223380576747023,0.987248239281162,0.9965742741095946,True
0.2265,2835789,0.9825637397301283,1.0215727177643614,0.9872726331837418,0.9969025708582523,0.997882325225381,True,1.0225556242017284,0.9872726331837418,0.9965465851183818,True
0.227,2835300,0.9823943076360169,1.0221156147631585,0.9893666196764599,0.9971396201897601,0.9978441532244701,True,1.0231755435418777,0.9893666196764599,0.9968257114650222,True
0.2275,2834788,0.982216906343205,1.0222562276414924,0.9886628783336686,0.9970022613303708,0.9977715896111131,True,1.0232938699837906,0.9886628783336686,0.9966444592069332,True
0.228,2834260,0.9820339612599926,1.0225548932392228,0.9886628783336686,0.9970065112279849,0.9977325090386853,True,1.0236444407428051,0.9886628783336686,0.9966671373810738,True
0.2285,2833738,0.9818530950981805,1.022360023243121,0.9858249107422534,0.9966361707427176,0.9976549821711665,True,1.0234340492581524,0.9858249107422534,0.996263687538396,True
0.229,2833218,0.9816729219101684,1.0226616649294824,0.9851406405841082,0.996609661487879,0.9976073729518209,True,1.0237575433294483,0.9851406405841082,0.9962243164060764,True
0.2295,2832753,0.9815118055016576,1.0228742819551864,0.9851595896798206,0.996538903019087,0.9975678095793368,True,1.024030817907709,0.9851595896798206,0.9961816080165575,True
0.23,2832258,0.981340294486146,1.0236936647839072,0.987278906104086,0.9968374259833315,0.9975196727518861,True,1.024942313219104,0.987278906104086,0.9965133001990512,True
0.2305,2831727,0.9811563099422337,1.0235971826147416,0.985909384296875,0.9966141354140727,0.9974266533768256,True,1.0248477067240942,0.985909384296875,0.9962809214548555,True
0.231,2831225,0.980982373518422,1.0241819617953147,0.9879831130238377,0.9967709319783713,0.9974062977731104,True,1.0254765347486685,0.9879831130238377,0.9964372405016202,True
0.2315,2830685,0.9807952705924095,1.0245202376490614,0.987967452722161,0.9966761863846483,0.9973529824289323,True,1.025827696370993,0.987967452722161,0.996314031388422,True
0.232,2830141,0.9806067817187968,1.0246251991292117,0.9858461225101507,0.9964511141437843,0.9973110800441293,True,1.0259085565264157,0.9858461225101507,0.9960355531941789,True
0.2325,2829624,0.9804276479914847,1.0248866187649799,0.9851405645474907,0.9964467044396683,0.9972817064279746,True,1.026202542904257,0.9851405645474907,0.9960356958258839,True
0.233,2829093,0.9802436634475724,1.0250708849229582,0.9837294486221705,0.9963213924230709,0.997197307674599,True,1.0264018770188013,0.9837294486221705,0.9958942417814833,True
0.2335,2828511,0.9800420080717588,1.025118958955369,0.9837344945981076,0.9962149125926498,0.9971063959392408,True,1.026468145583109,0.9837344945981076,0.9957916894785149,True
